name,position
Veronica Thörnroos,Lantråd
Harry Jansson,"Vicelantråd, kansliminister"
Roger Höglund,Finansminister
Annette Holmberg-Jansson,Social- och hälsovårdsminister
Annika Hambrudd,Utbildnings- och kulturminister
Fredrik Karlström,Näringsminister
Alfons Röblom,Utvecklingsminister
Christian Wikström,Infrastrukturminister
