item,itemLabel,position,positionLabel,start,psid
Q107724895,Roger Höglund,Q23375654,Minister of Finance,2019-12-10,Q107724895-87763A98-B115-4E8F-A1F2-7A689E196A5C
Q2160820,Harry Jansson,Q4112587,Vice lantråd,2019-12-10,Q2160820-A13C94C2-8A21-47B2-A5CA-C88E52887C4E
Q3371504,Fredrik Karlström,Q107724664,Minister for Industry and Trade,2019-12-10,Q3371504-146612AF-AD7F-4FB1-B9C6-D68AD5A1BA09
Q43861413,Annette Holmberg-Jansson,Q107724976,Minister for Social Affairs and Health,2019-12-10,Q43861413-15CA99A1-52D3-4EDB-AE58-C97CDCC51F0B
Q4982779,Veronica Thörnroos,Q2114150,Lantråd,2019-11-25,Q4982779-40367b54-42c3-84fe-4a9d-91005dac263d
Q6086545,Alfons Röblom,Q107724982,Minister of Development,2019-12-10,Q6086545-7F5DB109-8B26-46F4-8633-B6416526C373
Q85686346,Annika Hambrudd,Q25712439,Minister of Education and Culture,2019-12-10,Q85686346-A95A3665-38E0-4AB7-8EB7-8BBE46C6D0D4
Q85686737,Christian Wikström,Q107724921,Minister for Infrastructure,2019-12-10,Q85686737-218B9E31-0941-4EDC-A3F0-C9968E00ED01
